location,total_sqft,bath,bhk
7th Phase JP Nagar,1140.0,2.0,2
7th Phase JP Nagar,1420.0,3.0,3
7th Phase JP Nagar,1530.0,2.0,2
8th Phase JP Nagar,1073.5,2.0,2
8th Phase JP Nagar,451.0,1.0,1
8th Phase JP Nagar,1062.0,2.0,2
8th Phase JP Nagar,1455.0,3.0,3
8th Phase JP Nagar,871.0,2.0,2
8th Phase JP Nagar,1098.0,2.0,2
8th Phase JP Nagar,1800.0,3.0,3
8th Phase JP Nagar,2700.0,4.0,4
8th Phase JP Nagar,1080.0,2.0,2
8th Phase JP Nagar,1059.0,2.0,2
8th Phase JP Nagar,1080.0,2.0,2
8th Phase JP Nagar,1062.0,2.0,2
8th Phase JP Nagar,500.0,1.0,1
8th Phase JP Nagar,1100.0,2.0,2
8th Phase JP Nagar,2100.0,4.0,4
8th Phase JP Nagar,1035.0,2.0,2
8th Phase JP Nagar,909.0,2.0,2
8th Phase JP Nagar,1431.5,3.0,3
8th Phase JP Nagar,1900.0,4.0,3
8th Phase JP Nagar,500.0,1.0,1
8th Phase JP Nagar,1125.0,2.0,2
8th Phase JP Nagar,1100.0,2.0,2
8th Phase JP Nagar,1089.0,2.0,2
8th Phase JP Nagar,1504.0,2.0,3
8th Phase JP Nagar,2600.0,4.0,4
8th Phase JP Nagar,1089.0,2.0,2
8th Phase JP Nagar,1513.0,2.0,2
8th Phase JP Nagar,1298.0,2.0,2
8th Phase JP Nagar,1006.0,2.0,2
8th Phase JP Nagar,500.0,1.0,1
8th Phase JP Nagar,1160.0,2.0,2
8th Phase JP Nagar,1245.0,2.0,2
8th Phase JP Nagar,1510.0,2.0,2
8th Phase JP Nagar,3300.0,3.0,3
8th Phase JP Nagar,1730.0,5.0,5
8th Phase JP Nagar,1046.0,2.0,2
8th Phase JP Nagar,1408.0,3.0,3
9th Phase JP Nagar,1005.0,2.0,2
9th Phase JP Nagar,1100.0,2.0,2
9th Phase JP Nagar,1080.0,2.0,2
9th Phase JP Nagar,1035.0,2.0,2
9th Phase JP Nagar,5000.0,4.0,4
9th Phase JP Nagar,1164.0,2.0,2
9th Phase JP Nagar,1005.0,2.0,2
9th Phase JP Nagar,1127.0,2.0,2
9th Phase JP Nagar,1005.0,2.0,2
9th Phase JP Nagar,835.0,2.0,2
9th Phase JP Nagar,1050.0,2.0,2
9th Phase JP Nagar,660.0,2.0,2
9th Phase JP Nagar,600.0,1.0,1
9th Phase JP Nagar,1466.0,2.0,2
9th Phase JP Nagar,1890.0,2.0,3
9th Phase JP Nagar,1079.0,2.0,2
9th Phase JP Nagar,1480.0,2.0,2
9th Phase JP Nagar,1200.0,2.0,2
9th Phase JP Nagar,905.0,2.0,2
9th Phase JP Nagar,1073.0,2.0,2
9th Phase JP Nagar,1719.3,2.0,3
9th Phase JP Nagar,1780.0,3.0,3
9th Phase JP Nagar,1522.0,3.0,3
9th Phase JP Nagar,890.0,2.0,2
9th Phase JP Nagar,5000.0,4.0,4
9th Phase JP Nagar,1050.0,2.0,2
9th Phase JP Nagar,1331.95,2.0,2
AECS Layout,1100.0,2.0,2
AECS Layout,1028.0,2.0,2
AECS Layout,1199.0,2.0,2
AECS Layout,1080.0,2.0,2
AECS Layout,1123.0,2.0,2
AECS Layout,1308.0,2.0,2
AECS Layout,1005.0,2.0,2
Abbigere,985.0,2.0,2
Abbigere,2200.0,6.0,6
Abbigere,765.0,2.0,1
Abbigere,880.0,2.0,2
Abbigere,795.0,2.0,2
Abbigere,1005.0,2.0,2
Abbigere,734.0,1.0,1
Abbigere,1020.0,2.0,2
Abbigere,985.0,2.0,2
Abbigere,2500.0,6.0,6
Abbigere,795.0,2.0,2
Abbigere,1130.0,2.0,2
Abbigere,795.0,1.0,2
Abbigere,3000.0,8.0,8
Abbigere,985.0,2.0,2
Abbigere,1000.0,2.0,2
Abbigere,995.0,2.0,2
Abbigere,1020.0,2.0,2
Akshaya Nagar,1388.0,2.0,2
Akshaya Nagar,1070.0,2.0,2
Akshaya Nagar,1280.0,2.0,2
Akshaya Nagar,1662.0,3.0,3
Akshaya Nagar,1897.0,3.0,3
Akshaya Nagar,1410.0,2.0,3
Akshaya Nagar,1360.0,2.0,3
Akshaya Nagar,1410.0,2.0,3
Akshaya Nagar,1662.0,3.0,3
Akshaya Nagar,1662.0,3.0,3
Akshaya Nagar,1280.0,2.0,2
Akshaya Nagar,1666.0,3.0,3
Akshaya Nagar,1575.0,3.0,3
Akshaya Nagar,1430.0,2.0,3
Akshaya Nagar,1419.0,2.0,3
Akshaya Nagar,1280.0,2.0,2
Akshaya Nagar,1200.0,2.0,2
Akshaya Nagar,1092.0,2.0,2
Akshaya Nagar,1690.0,3.0,3
Akshaya Nagar,1897.0,4.0,3
Akshaya Nagar,1884.0,3.0,3
Akshaya Nagar,1314.0,2.0,2
Akshaya Nagar,1690.0,3.0,3
Akshaya Nagar,1265.0,2.0,2
Akshaya Nagar,1126.0,2.0,2
Akshaya Nagar,1662.0,3.0,3
Akshaya Nagar,1420.0,2.0,3
Akshaya Nagar,1412.0,2.0,3
Akshaya Nagar,1434.0,3.0,3
Akshaya Nagar,1890.0,4.0,3
Akshaya Nagar,1419.0,2.0,3
Akshaya Nagar,1300.0,2.0,2
Akshaya Nagar,1690.0,3.0,3
Akshaya Nagar,1113.0,2.0,2
Akshaya Nagar,1820.0,4.0,3
Akshaya Nagar,1100.0,2.0,2
Akshaya Nagar,1896.0,3.0,3
Akshaya Nagar,1300.0,2.0,2
Akshaya Nagar,1225.0,2.0,2
Akshaya Nagar,1179.0,2.0,2
Akshaya Nagar,1421.0,2.0,3
Akshaya Nagar,1893.0,4.0,3
Akshaya Nagar,900.0,2.0,2
Ambalipura,1105.0,2.0,2
Ambalipura,1800.0,3.0,3
Ambalipura,1150.0,2.0,2
Ambalipura,1250.0,2.0,2
Ambalipura,1332.0,2.0,2
Ambalipura,1730.0,3.0,3
Ambalipura,1230.0,2.0,2
Ambalipura,1351.0,2.0,2
Ambalipura,1303.0,2.0,2
Ambalipura,1607.0,2.0,3
Ambalipura,770.0,1.0,1
Ambalipura,1700.0,2.0,2
Ambalipura,1060.0,2.0,2
Ambalipura,1650.0,3.0,3
Ambalipura,1607.0,2.0,3
Ambalipura,1198.0,2.0,2
Ambedkar Nagar,1935.0,4.0,3
Ambedkar Nagar,1424.0,2.0,2
Ambedkar Nagar,2225.0,4.0,3
Ambedkar Nagar,1862.0,3.0,3
Ambedkar Nagar,1850.0,4.0,3
Ambedkar Nagar,1936.0,4.0,3
Ambedkar Nagar,1862.0,3.0,3
Ambedkar Nagar,1424.0,2.0,2
Ambedkar Nagar,2150.0,4.0,3
Ambedkar Nagar,3530.0,4.0,4
Ambedkar Nagar,1856.0,3.0,3
Ambedkar Nagar,1852.0,3.0,3
Ambedkar Nagar,1850.0,4.0,3
Ambedkar Nagar,1367.0,2.0,2
Ambedkar Nagar,3565.0,4.0,4
Ambedkar Nagar,1409.0,2.0,2
Ambedkar Nagar,1950.0,4.0,3
Ambedkar Nagar,1921.0,4.0,3
Ambedkar Nagar,1920.0,4.0,3
Ambedkar Nagar,1935.0,4.0,3
Ambedkar Nagar,1852.0,4.0,3
Ambedkar Nagar,1950.0,4.0,3
Ambedkar Nagar,1852.0,3.0,3
Ambedkar Nagar,1850.0,4.0,3
Ambedkar Nagar,1425.0,2.0,2
Ambedkar Nagar,2395.0,4.0,3
Amruthahalli,900.0,2.0,2
Amruthahalli,1200.0,2.0,2
Amruthahalli,1900.0,3.0,3
Amruthahalli,924.0,2.0,2
Amruthahalli,900.0,2.0,2
Amruthahalli,1100.0,2.0,2
Amruthahalli,1200.0,2.0,2
Amruthahalli,1450.0,2.0,3
Amruthahalli,1200.0,2.0,2
Amruthahalli,1250.0,2.0,2
Amruthahalli,1190.0,2.0,2
Amruthahalli,1202.0,2.0,2
Amruthahalli,1340.0,2.0,2
Amruthahalli,2650.0,4.0,3
Amruthahalli,1450.0,2.0,3
Amruthahalli,1025.0,2.0,2
Amruthahalli,485.0,1.0,1
Anandapura,1167.0,2.0,2
Anandapura,1000.0,2.0,2
Anandapura,1141.0,2.0,2
Anandapura,1200.0,2.0,2
Anandapura,1200.0,2.0,2
Anandapura,1151.0,2.0,2
Anandapura,1141.0,2.0,2
Anandapura,900.0,2.0,2
Anandapura,1749.0,4.0,4
Anandapura,1151.0,2.0,2
Anandapura,1250.0,2.0,2
Anandapura,1151.0,2.0,2
Anandapura,1200.0,2.0,2
Anandapura,1200.0,2.0,3
Anandapura,1415.0,2.0,3
Anandapura,1200.0,2.0,2
Anandapura,1141.0,2.0,2
Ananth Nagar,500.0,1.0,1
Ananth Nagar,1100.0,2.0,2
Ananth Nagar,982.0,2.0,2
Ananth Nagar,500.0,2.0,1
Ananth Nagar,900.0,2.0,2
Ananth Nagar,908.0,2.0,2
Ananth Nagar,870.0,2.0,2
Ananth Nagar,937.0,2.0,2
Ananth Nagar,960.0,2.0,2
Ananth Nagar,500.0,1.0,1
Ananth Nagar,1000.0,2.0,2
Ananth Nagar,850.0,2.0,2
Ananth Nagar,902.0,2.0,2
Ananth Nagar,1470.0,3.0,3
Ananth Nagar,810.0,2.0,2
Ananth Nagar,890.0,2.0,2
Ananth Nagar,1200.0,2.0,2
Ananth Nagar,1319.0,3.0,3
Ananth Nagar,1000.0,2.0,2
Ananth Nagar,902.0,2.0,2
Ananth Nagar,930.0,2.0,2
Ananth Nagar,1074.0,2.0,2
Ananth Nagar,500.0,1.0,1
Ananth Nagar,1010.0,2.0,2
Ananth Nagar,992.0,2.0,2
Anekal,656.0,2.0,2
Anekal,620.0,2.0,2
Anekal,600.0,1.0,1
Anekal,925.0,2.0,2
Anekal,530.0,1.0,1
Anekal,1800.0,3.0,3
Anekal,351.0,1.0,1
Anekal,1035.0,2.0,2
Anekal,888.0,2.0,2
Anekal,1200.0,2.0,4
Anekal,766.0,2.0,2
Anekal,967.0,2.0,3
Anekal,620.0,1.0,2
Anekal,1150.0,3.0,3
Anekal,400.0,1.0,1
Anekal,456.0,1.0,1
Anekal,2400.0,4.0,3
Anekal,420.0,1.0,1
Anekal,614.0,1.0,2
Anekal,1140.0,2.0,2
Anekal,625.0,1.0,2
Anjanapura,1850.0,4.0,4
Anjanapura,1070.0,2.0,2
Anjanapura,1500.0,3.0,3
Anjanapura,1070.0,2.0,2
Anjanapura,950.0,2.0,2
Anjanapura,1280.0,2.0,3
Anjanapura,710.0,2.0,2
Anjanapura,950.0,2.0,2
Anjanapura,1800.0,4.0,4
Anjanapura,1843.0,3.0,3
Anjanapura,1076.0,2.0,2
Anjanapura,950.0,2.0,2
Ardendale,1750.0,3.0,3
Ardendale,3198.0,4.0,4
Ardendale,2422.0,4.0,4
Ardendale,1750.0,3.0,3
Ardendale,3200.0,4.0,4
Ardendale,1728.0,3.0,3
Ardendale,2062.0,3.0,4
Ardendale,1732.46,3.0,3
Ardendale,2062.0,3.0,4
Ardendale,1224.0,2.0,2
Ardendale,1777.26,3.0,3
Ardendale,1650.0,3.0,3
Ardendale,2062.0,3.0,4
Ardendale,1650.0,3.0,3
Ardendale,1224.0,2.0,2
Ardendale,1723.0,3.0,3
Ardendale,1777.26,3.0,3
Ardendale,1777.26,3.0,3
Arekere,2060.0,3.0,3
Arekere,920.0,2.0,2
Arekere,1740.0,2.0,3
Arekere,1190.0,2.0,2
Arekere,600.0,1.0,1
Arekere,2072.0,3.0,3
Arekere,1100.0,2.0,2
Arekere,900.0,2.0,2
Arekere,1240.0,2.0,2
Arekere,900.0,2.0,2
Attibele,450.0,1.0,1
Attibele,1600.0,4.0,4
Attibele,656.0,2.0,2
Attibele,400.0,1.0,1
Attibele,400.0,1.0,1
Attibele,400.0,1.0,1
Attibele,500.0,1.0,1
Attibele,2168.0,4.0,4
Attibele,395.0,1.0,1
Attibele,420.0,1.0,1
Attibele,418.0,1.0,1
Attibele,1200.0,2.0,2
Attibele,400.0,1.0,1
Attibele,695.0,1.0,2
Attibele,850.0,1.0,2
Attibele,2400.0,3.0,3
Attibele,450.0,1.0,1
Attibele,782.0,1.0,1
Attibele,656.0,2.0,2
Attibele,400.0,1.0,1
Attibele,460.0,1.0,1
Attibele,418.0,2.0,1
Attibele,1000.0,2.0,2
Attibele,550.0,1.0,1
Attibele,410.0,1.0,1
Attibele,1700.0,3.0,3
Attibele,400.0,1.0,1
Attibele,656.0,2.0,2
Attibele,1500.0,3.0,3
Attibele,520.0,1.0,1
BEML Layout,1060.0,2.0,2
BEML Layout,999.0,2.0,2
BEML Layout,2400.0,4.0,5
BEML Layout,1194.0,2.0,2
BEML Layout,1200.0,2.0,2
BEML Layout,2400.0,2.0,2
BEML Layout,1194.0,2.0,2
BTM 2nd Stage,950.0,2.0,2
BTM 2nd Stage,1850.0,3.0,3
BTM 2nd Stage,1200.0,2.0,2
BTM 2nd Stage,1274.0,2.0,2
BTM 2nd Stage,1070.0,2.0,2
BTM 2nd Stage,1280.0,2.0,2
BTM 2nd Stage,1100.0,2.0,2
BTM 2nd Stage,1000.0,2.0,2
BTM 2nd Stage,2990.0,5.0,5
BTM 2nd Stage,1265.0,2.0,2
BTM 2nd Stage,2200.0,3.0,3
BTM 2nd Stage,2780.0,4.0,3
BTM 2nd Stage,2400.0,2.0,3
BTM 2nd Stage,965.0,2.0,2
BTM 2nd Stage,1147.0,2.0,2
BTM 2nd Stage,1750.0,3.0,3
BTM 2nd Stage,1400.0,2.0,2
BTM 2nd Stage,1200.0,2.0,2
BTM 2nd Stage,1100.0,2.0,2
BTM 2nd Stage,930.0,2.0,2
BTM 2nd Stage,2500.0,3.0,3
BTM Layout,1150.0,2.0,2
BTM Layout,3300.0,6.0,6
BTM Layout,1450.0,2.0,3
BTM Layout,1776.0,2.0,3
BTM Layout,1458.0,3.0,3
BTM Layout,935.0,2.0,2
BTM Layout,1020.0,2.0,2
BTM Layout,1600.0,3.0,3
BTM Layout,1300.0,2.0,3
BTM Layout,1540.0,2.0,3
BTM Layout,450.0,1.0,1
BTM Layout,1196.0,2.0,2
BTM Layout,1470.0,2.0,3
Babusapalaya,1611.0,2.0,3
Babusapalaya,1675.0,3.0,3
Babusapalaya,1141.0,2.0,2
Babusapalaya,1500.0,2.0,2
Babusapalaya,1050.0,2.0,2
Babusapalaya,1141.0,2.0,2
Babusapalaya,1230.0,3.0,3
Babusapalaya,1105.0,2.0,2
Babusapalaya,1410.0,2.0,3
Babusapalaya,1450.0,2.0,2
Babusapalaya,1100.0,2.0,2
Babusapalaya,1061.0,2.0,2
Babusapalaya,1061.0,2.0,2
Babusapalaya,1061.0,2.0,2
Babusapalaya,1245.0,2.0,2
Badavala Nagar,1494.0,2.0,3
Badavala Nagar,1274.0,2.0,2
Badavala Nagar,1842.0,3.0,3
Badavala Nagar,1494.0,2.0,3
Badavala Nagar,1274.0,2.0,2
Badavala Nagar,1494.0,2.0,3
Badavala Nagar,1842.0,3.0,3
Badavala Nagar,1842.0,3.0,3
Badavala Nagar,1842.0,3.0,3
Balagere,1210.0,2.0,2
Balagere,1210.0,2.0,2
Balagere,1205.0,2.0,2
Balagere,790.5,1.0,1
Balagere,1020.07,2.0,2
Balagere,1205.47,2.0,2
Balagere,1007.0,2.0,2
Balagere,1210.0,2.0,2
Balagere,1210.0,2.0,2
Balagere,675.0,1.0,1
Balagere,656.0,1.0,1
Balagere,1012.0,2.0,2
Balagere,1007.0,2.0,2
Balagere,1007.0,2.0,2
Balagere,1007.0,2.0,2
Balagere,645.0,1.0,1
Balagere,790.5,1.0,1
Balagere,1012.0,2.0,2
Balagere,656.0,1.0,1
Balagere,645.0,1.0,1
Balagere,645.0,1.0,1
Balagere,1210.0,2.0,2
Balagere,656.0,1.0,1
Balagere,1205.0,2.0,2
Balagere,1012.0,2.0,2
Balagere,1007.0,2.0,2
Balagere,1205.0,2.0,2
Balagere,1012.0,2.0,2
Banashankari,1077.0,2.0,2
Banashankari,1470.0,2.0,3
Banashankari,1300.0,2.0,3
Banashankari,1800.0,3.0,3
Banashankari,1125.0,2.0,2
Banashankari,1310.0,2.0,2
Banashankari,2600.0,4.0,3
Banashankari,1900.0,2.0,3
Banashankari,1260.0,2.0,2
Banashankari,1170.0,2.0,2
Banashankari,1350.0,2.0,3
Banashankari,1330.0,2.0,2
Banashankari,1400.0,2.0,3
Banashankari,1700.0,3.0,3
Banashankari,1020.0,2.0,2
Banashankari,1600.0,2.0,2
Banashankari,1041.0,2.0,2
Banashankari,2400.0,1.0,1
Banashankari,1390.0,2.0,2
Banashankari,1460.0,2.0,2
Banashankari,1200.0,2.0,2
Banashankari,1290.0,2.0,2
Banashankari,1186.0,2.0,2
Banashankari,1650.0,3.0,3
Banashankari,1181.0,2.0,2
Banashankari,1105.0,2.0,2
Banashankari,720.0,1.0,1
Banashankari,1040.0,2.0,2
Banashankari,1330.0,2.0,2
Banashankari,1200.0,2.0,2
Banashankari,1185.0,2.0,2
Banashankari,1000.0,2.0,2
Banashankari,1650.0,3.0,3
Banashankari,1650.0,3.0,3
Banashankari,1310.0,2.0,2
Banashankari,600.0,1.0,2
Banashankari,1430.0,2.0,2
Banashankari,1020.0,2.0,2
Banashankari,1540.0,3.0,3
Banashankari,1683.0,3.0,3
Banashankari,1800.0,3.0,3
Banashankari,1175.0,2.0,2
Banashankari,1450.0,2.0,2
Banashankari,1770.0,3.0,3
Banashankari,1800.0,3.0,3
Banashankari,1200.0,3.0,3
Banashankari,1100.0,2.0,2
Banashankari,1020.0,2.0,2
Banashankari,1260.0,2.0,2
Banashankari,1426.0,3.0,3
Banashankari Stage II,1700.0,2.0,2
Banashankari Stage II,1200.0,2.0,4
Banashankari Stage II,1500.0,2.0,3
Banashankari Stage II,2400.0,3.0,5
Banashankari Stage II,1240.0,2.0,3
Banashankari Stage II,1250.0,2.0,2
Banashankari Stage II,1260.0,2.0,3
Banashankari Stage II,2400.0,2.0,3
Banashankari Stage II,1400.0,2.0,2
Banashankari Stage II,2800.0,3.0,5
Banashankari Stage II,3000.0,3.0,3
Banashankari Stage II,1200.0,2.0,3
Banashankari Stage II,1245.0,2.0,2
Banashankari Stage III,1305.0,2.0,3
Banashankari Stage III,1145.0,2.0,2
Banashankari Stage III,1650.0,3.0,3
Banashankari Stage III,2400.0,4.0,4
Banashankari Stage III,1350.0,2.0,3
Banashankari Stage III,1305.0,2.0,3
Banashankari Stage III,1305.0,2.0,3
Banashankari Stage III,1200.0,2.0,2
Banashankari Stage III,1305.0,2.0,3
Banashankari Stage III,1480.0,3.0,3
Banashankari Stage III,1305.0,2.0,3
Banashankari Stage III,1304.0,2.0,2
Banashankari Stage III,3000.0,6.0,6
Banashankari Stage III,1085.0,2.0,2
Banashankari Stage III,1500.0,2.0,3
Banashankari Stage III,2100.0,3.0,4
Banashankari Stage III,1420.0,2.0,3
Banashankari Stage V,1300.0,2.0,3
Banashankari Stage V,1305.0,2.0,3
Banashankari Stage V,1035.0,2.0,2
Banashankari Stage V,1355.0,2.0,3
Banashankari Stage V,1510.0,3.0,3
Banashankari Stage V,1650.0,3.0,3
Banashankari Stage V,1630.0,3.0,3
Banashankari Stage V,1510.0,3.0,3
Banashankari Stage V,1315.0,2.0,3
Banashankari Stage V,1540.0,3.0,3
Banashankari Stage V,920.0,2.0,2
Banashankari Stage VI,1177.5,2.0,2
Banashankari Stage VI,4800.0,4.0,4
Banashankari Stage VI,2800.0,4.0,4
Banashankari Stage VI,2200.0,4.0,4
Banashankari Stage VI,1160.0,2.0,2
Banashankari Stage VI,1180.0,2.0,2
Banashankari Stage VI,1423.0,2.0,3
Banashankari Stage VI,1392.0,3.0,3
Banashankari Stage VI,1410.5,2.0,3
Banashankari Stage VI,4800.0,3.0,4
Banaswadi,1184.0,2.0,2
Banaswadi,1145.0,2.0,2
Banaswadi,1250.0,2.0,2
Banaswadi,1365.0,2.0,2
Banaswadi,1903.0,6.0,5
Banaswadi,1222.0,2.0,2
Banaswadi,870.0,2.0,2
Banaswadi,1200.0,2.0,2
Banaswadi,527.0,1.0,1
Banaswadi,1340.0,2.0,2
Banaswadi,1008.0,2.0,2
Banaswadi,1105.0,2.0,2
Banjara Layout,1200.0,2.0,2
Banjara Layout,1050.0,2.0,2
Banjara Layout,753.0,3.0,2
Banjara Layout,2500.0,4.0,3
Bannerghatta,1665.0,3.0,3
Bannerghatta,2370.0,4.0,3
